country,1952,1957,1962,1967,1972,1977,1982,1987,1992
Albania,-9,-9,-9,-9,-9,-9,-9,-9,5
Argentina,-9,-1,-1,-9,-9,-9,-8,8,7
Armenia,-9,-7,-7,-7,-7,-7,-7,-7,7
Australia,10,10,10,10,10,10,10,10,10
Austria,10,10,10,10,10,10,10,10,10
Azerbaijan,-9,-7,-7,-7,-7,-7,-7,-7,1
Belarus,-9,-7,-7,-7,-7,-7,-7,-7,7
Belgium,10,10,10,10,10,10,10,10,10
Bhutan,-10,-10,-10,-10,-10,-10,-10,-10,-10
Bolivia,-4,-3,-3,-4,-7,-7,8,9,9
Brazil,5,5,5,-9,-9,-4,-3,7,8
Bulgaria,-7,-7,-7,-7,-7,-7,-7,-7,8
Canada,10,10,10,10,10,10,10,10,10
Chile,2,5,5,6,6,-7,-7,-6,8
China,-8,-8,-8,-9,-8,-7,-7,-7,-7
Colombia,-5,7,7,7,7,8,8,8,9
Costa Rica,10,10,10,10,10,10,10,10,10
Croatia,-7,-7,-7,-7,-7,-7,-5,-5,-3
Cuba,0,-9,-7,-7,-7,-7,-7,-7,-7
Czech Rep.,-7,-7,-7,-7,-7,-7,-7,-7,8
Denmark,10,10,10,10,10,10,10,10,10
Dominican Rep.,-9,-9,8,-3,-3,-3,6,6,6
Ecuador,2,2,-1,-1,-5,-5,9,8,9
Egypt,-7,-7,-7,-7,-7,-6,-6,-6,-6
El Salvador,-6,-5,-3,0,-1,-6,2,6,7
Estonia,-9,-7,-7,-7,-7,-7,-7,-7,6
Ethiopia,-9,-9,-9,-9,-9,-7,-7,-8,0
Finland,10,10,10,10,10,10,10,10,10
France,10,10,5,5,8,8,8,9,9
Georgia,-9,-7,-7,-7,-7,-7,-7,-7,4
Germany,10,10,10,10,10,10,10,10,10
Greece,4,4,4,-7,-7,8,8,10,10
Guatemala,2,-6,-5,3,1,-3,-7,3,3
Haiti,-5,-5,-9,-9,-10,-9,-9,-8,-7
Honduras,-3,-1,-1,-1,-1,-1,6,5,6
Hungary,-7,-7,-7,-7,-7,-7,-7,-7,10
India,9,9,9,9,9,8,8,8,8
Indonesia,0,-1,-5,-7,-7,-7,-7,-7,-7
Iran,-1,-10,-10,-10,-10,-10,-6,-6,-6
Iraq,-4,-4,-5,-5,-7,-7,-9,-9,-9
Ireland,10,10,10,10,10,10,10,10,10
Israel,10,10,10,9,9,9,9,9,9
Italy,10,10,10,10,10,10,10,10,10
Japan,10,10,10,10,10,10,10,10,10
Jordan,-1,-9,-9,-9,-9,-10,-10,-9,-2
Kazakhstan,-9,-7,-7,-7,-7,-7,-7,-7,-3
"Korea, Dem. Rep.",-7,-8,-8,-9,-9,-9,-9,-9,-9
"Korea, Rep.",-4,-4,-7,3,-9,-8,-5,1,6
Kyrgyzstan,-9,-7,-7,-7,-7,-7,-7,-7,-3
Latvia,-9,-7,-7,-7,-7,-7,-7,-7,8
Lebanon,2,2,2,2,5,0,0,0,0
Liberia,-6,-6,-6,-6,-6,-6,-7,-6,0
Libya,-7,-7,-7,-7,-7,-7,-7,-7,-7
Lithuania,-9,-7,-7,-7,-7,-7,-7,-7,10
"Macedonia, FYR",-7,-7,-7,-7,-7,-7,-5,-5,6
Mexico,-6,-6,-6,-6,-6,-3,-3,-3,0
Moldova,-9,-7,-7,-7,-7,-7,-7,-7,5
Mongolia,-7,-7,-7,-7,-7,-7,-7,-7,9
Montenegro,-7,-7,-7,-7,-7,-7,-5,-5,-5
Myanmar,8,8,-6,-7,-7,-6,-8,-8,-7
Nepal,-7,-4,-9,-9,-9,-9,-2,-2,5
Netherlands,10,10,10,10,10,10,10,10,10
New Zealand,10,10,10,10,10,10,10,10,10
Nicaragua,-8,-8,-8,-8,-8,-8,-5,-1,6
Norway,10,10,10,10,10,10,10,10,10
Oman,-6,-10,-10,-10,-10,-10,-10,-10,-9
Pakistan,5,8,1,1,4,-7,-7,-4,8
Panama,-1,4,4,4,-7,-7,-5,-8,8
Paraguay,-5,-9,-9,-8,-8,-8,-8,-8,7
Peru,-2,5,-6,5,-7,-7,7,7,-3
Philippines,5,5,5,5,-9,-9,-7,8,8
Poland,-7,-7,-7,-7,-7,-7,-8,-6,8
Portugal,-9,-9,-9,-9,-9,9,10,10,10
Romania,-7,-7,-7,-7,-7,-8,-8,-8,5
Russia,-9,-7,-7,-7,-7,-7,-7,-7,5
Saudi Arabia,-10,-10,-10,-10,-10,-10,-10,-10,-10
Serbia,-7,-7,-7,-7,-7,-7,-5,-5,-5
Slovak Republic,-7,-7,-7,-7,-7,-7,-7,-7,8
Slovenia,-7,-7,-7,-7,-7,-7,-5,-5,10
South Africa,4,4,4,4,4,4,4,4,6
Spain,-7,-7,-7,-7,-7,5,10,10,10
Sri Lanka,7,7,7,7,8,8,5,5,5
Sweden,10,10,10,10,10,10,10,10,10
Switzerland,10,10,10,10,10,10,10,10,10
Syria,-7,7,-2,-7,-9,-9,-9,-9,-9
Taiwan,-8,-8,-8,-8,-8,-7,-7,-1,7
Tajikistan,-9,-7,-7,-7,-7,-7,-7,-7,-6
Thailand,-6,-3,-7,-7,-7,-2,2,2,9
Turkey,7,4,9,8,-2,9,-5,7,9
Turkmenistan,-9,-7,-7,-7,-7,-7,-7,-7,-9
Ukraine,-9,-7,-7,-7,-7,-7,-7,-7,6
United Kingdom,10,10,10,10,10,10,10,10,10
United States,10,10,10,10,10,10,10,10,10
Uruguay,8,8,8,8,-3,-8,-7,9,10
Uzbekistan,-9,-7,-7,-7,-7,-7,-7,-7,-9
Venezuela,-3,-3,6,6,9,9,9,9,8
