city,state,state_ideology
New York,New York,Liberal
Chicago,Illinois,Liberal
Los Angeles,California,Liberal
Washington,DC,Liberal
Houston,Texas,Conservative
Philadelphia,Pennsylvania,Conservative
Phoenix,Arizona,Conservative
San Diego,California,Liberal
Dallas,Texas,Conservative
Detroit,Michigan,Conservative
San Francisco,California,Liberal
San Antonio,Texas,Conservative
Atlanta,Georgia,Conservative
Las Vegas,Nevada,Liberal
Baltimore,Maryland,Liberal
Boston,Massachusetts,Liberal
"Jacksonville, Fla.",Florida,Conservative
"El Paso, Texas",Texas,Conservative
"Columbus, Ohio",Ohio,Conservative
Cleveland,Ohio,Conservative
"Tucson, Ariz.",Arizona,Conservative
"Newark, N.J.",New Jersey,Liberal
"Austin, Texas",Texas,Conservative
"Memphis, Tenn.",Tennessee,Conservative
Milwaukee,Wisconsin,Conservative
"San Jose, Calif.",California,Liberal
Miami,Florida,Conservative
Denver,Colorado,Liberal
"Sacramento, Calif.",California,Liberal
"Charlotte, N.C.",North Carolina,Conservative
"Tampa, Fla.",Florida,Conservative
Indianapolis,Indiana,Conservative
"Santa Ana, Calif.",California,Liberal
New Orleans,Louisiana,Conservative
"Oakland, Calif.",California,Liberal
"Orlando, Fla.",Florida,Conservative
"Oklahoma City, Okla.",Oklahoma,Conservative
Seattle,Washington,Liberal
"Kansas City, Mo.",Missouri,Conservative
"Nashville, Tenn.",Tennessee,Conservative
"Laredo, Texas",Texas,Conservative
"Fort Worth, Texas",Texas,Conservative
"Louisville, Ky.",Kentucky,Conservative
"Norfolk, Va.",Virginia,Liberal
"Arlington, Va.",Virginia,Liberal
Pittsburgh,Pennsylvania,Conservative
"Albuquerque, N.M.",New Mexico,Liberal
"Jersey City, N.J.",New Jersey,Liberal
"Raleigh, N.C.",North Carolina,Conservative
"Rochester, N.Y.",New York,Liberal
Cincinnati,Ohio,Conservative
"Long Beach, Calif.",California,Liberal
"Birmingham, Ala.",Alabama,Conservative
"Wichita, Kan.",Kansas,Conservative
"Virginia Beach, Va.",Virginia,Liberal
"Fresno, Calif.",California,Liberal
"Buffalo, N.Y.",New York,Liberal
Minneapolis,Minneapolis,Liberal
"Portland, Ore.",Oregon,Liberal
"Reno, Nev.",Nevada,Liberal
"Richmond, Va.",Virginia,Liberal
"Baton Rouge, La.",Louisiana,Conservative
"Jackson, Miss.",Mississippi,Conservative
"Riverside, Calif.",California,Liberal
"Fort Lauderdale, Fla.",Florida,Conservative
St. Louis,Missouri,Conservative
"Brownsville, Texas",Texas,Conservative
"Albany, N.Y.",New York,Liberal
"Colorado Springs, Colo.",Colorado,Liberal
"Savannah, Ga.",Georgia,Conservative
"Winston-Salem, N.C.",North Carolina,Conservative
"Toledo, Ohio",Ohio,Conservative
"Madison, Wis.",Wisconsin,Conservative
"Corpus Christi, Texas",Texas,Conservative
"San Bernardino, Calif.",California,Liberal